type,id,name,quantity,source_group,price,material,notes,product_link,stl_link,step_link
purchase_group,P01,DAOKI CNC Shield V3.0 kit,,,$9.99,,"Includes Arduino-compatible Uno, CNC Shield V3, 4 DRV8825 drivers, heatsinks, jumper caps, and USB cable.",https://www.amazon.com/dp/B08KFYKKN4,,
purchase_group,P02,"STEPPERONLINE NEMA 17 stepper motor, 3-pack",,,$10.19,,Build uses 2 motors; this listing includes 3.,https://www.amazon.com/dp/B0B38GHRH8,,
purchase_group,P03,ANNIMOS 20kg metal gear servo,,,$14.99,,Pen lift servo.,https://www.amazon.com/dp/B0769DFJVK,,
purchase_group,P04,"GT2 belt, pulley, idler, tensioner, and clamp kit",,,$14.99 each,,"Buy 2. Each kit has 5m of 6mm GT2 belt, 20T pulleys, idlers, tensioner springs, clamp blocks, and wrench.",https://www.amazon.com/dp/B0D2XXF6H7,,
purchase_group,P05,"uxcell 625ZZ bearings, 25-pack",,,$7.89,,Build uses 24 bearings.,https://www.amazon.com/dp/B0CJFRSK7D,,
purchase_group,P06,"3030 aluminum extrusion, 39.4 inch, 10-pack",,,$46.99,,Cut into the frame and gantry pieces.,https://www.amazon.com/dp/B0C9WGJNR9,,
purchase_group,P07,3030 corner bracket + M6 T-nut connector kit,,,Check listing,,"Includes 3030 corner brackets, M6 T-nuts, M6 x 12 bolts, and wrench.",https://www.amazon.com/dp/B0B12FJRQ3,,
purchase_group,P08,M3 screw/nut/washer assortment,,,$9.99,,"Small toolhead, cart, servo, and motor hardware.",https://www.amazon.com/dp/B0FGV5FCBN,,
purchase_group,P09,M4 screw/nut/washer assortment,,,$9.99,,Belt clamp hardware.,https://www.amazon.com/dp/B0DD79T1CW,,
purchase_group,P10,M5 screw/nut/washer assortment,,,$9.99,,Roller and pulley stack hardware.,https://www.amazon.com/dp/B0CSY7FMQD,,
purchase_group,P11,M6 screw/nut/washer assortment,,,$9.99,,Optional/extra M6 hardware. The connector kit already includes the main M6 x 12 frame bolts.,https://www.amazon.com/dp/B0GHM7GBXF,,
purchase_group,P12,IRLZ44N logic-level N-channel MOSFET,,,Check listing,,Servo anti-twitch power switch.,https://www.amazon.com/IRLZ44N-IRLZ44NPBF-Mosfet-N-Channel-0-02Ohm/dp/B09SV14RX7,,
purchase_group,P13,Aluminum cutting blade and paraffin wax,,,Check listing,,Optional extrusion cutting helpers.,https://www.amazon.com/s?k=aluminum+cutting+blade+paraffin+wax,,
purchase_group,A01,Assumed project supplies,,,Already owned,,"Breadboard, 220 ohm resistor, 10k ohm resistor, bench power supply, external 5V source, pen/pencil, spring, zip tie, and jumper wires.",,,
itemized_part,,Arduino Uno-compatible board,1,P01,,,Included in the electronics kit.,,,
itemized_part,,CNC Shield V3,1,P01,,,Plugs into the Uno.,,,
itemized_part,,DRV8825 motor driver,2,P01,,,Kit includes 4; this build uses 2. Set current limit to about 0.45-0.5A.,,,
itemized_part,,Arduino USB cable,1,P01,,,Included in the electronics kit.,,,
itemized_part,,20kg servo,1,P03,,,Pen lift servo.,,,
itemized_part,,Servo horn,1,P03,,,Use the servo's included horn.,,,
itemized_part,,NEMA 17 stepper motor,2,P02,,,CoreXY motor A and motor B.,,,
itemized_part,,GT2 timing belt,2x 5m,P04,,,Buy 2 kits so each motor gets its own 5m belt.,,,
itemized_part,,"GT2 20T drive pulley, 6mm belt width",2,P04,,,Mounted to the two stepper shafts.,,,
itemized_part,,GT2 idler pulley,8,P04,,,Build uses 6 toothed-style idlers and 2 toothless/smooth-style idlers. Confirm the exact pulley style in the kit before ordering.,,,
itemized_part,,GT2 aluminum timing belt clamp,2,P04,,,Included with the GT2 kit. Mounted to the printed belt clamp mount.,,,
itemized_part,,625 bearing,24,P05,,,Used in rollers and bearing stacks.,,,
itemized_part,,"3030 aluminum extrusion, length pieces",2,P06,,,1m pieces before cutting.,,,
itemized_part,,"3030 aluminum extrusion, width pieces",2,P06,,,1m pieces before cutting.,,,
itemized_part,,"3030 aluminum extrusion, gantry piece",1,P06,,,Cut from extrusion stock. Use the gantry jig or cut off 58.2mm.,,,
itemized_part,,3030 T-nut,30,P07,,,Use one with each M6 x 12 frame bolt. Gantry extrusion mount ones are optional and not counted.,,,
itemized_part,,Extrusion bracket,4,P07,,,Metal brackets for frame corners.,,,
itemized_part,,M6 x 12 bolt,30,P07,,,Used wherever a T-nut is used.,,,
itemized_part,,M6 x 30 bolt,4,P11,,,Optional if additional gantry-to-cart T-nuts are not desired.,,,
itemized_part,,M6 washer,4,P11,,,"Optional, used with M6 x 30.",,,
itemized_part,,M5 x 45 bolt,8,P10,,,"Back corner brackets, bottom of toolhead cart, and Y-cart pulleys.",,,
